,model,cell_line,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,random_seed,best_epoch,batch_size,lr,data_split_seed,# trainable params
0,kekulescope,A2780,0.305 ± 0.049,0.761 ± 0.073,0.864 ± 0.042,0.948 ± 0.016,0.622 ± 0.073,0.533 ± 0.039,"[7, 77, 777]","[123, 37, 30]",16,0.01,1,127117337
1,kekulescope,CCRF-CEM,0.255 ± 0.015,0.847 ± 0.011,0.792 ± 0.008,0.961 ± 0.007,0.532 ± 0.012,0.528 ± 0.007,"[7, 77, 777]","[63, 100, 61]",16,0.01,1,127117337
2,kekulescope,DU-145,0.235 ± 0.028,0.768 ± 0.009,0.784 ± 0.016,0.949 ± 0.011,0.495 ± 0.012,0.427 ± 0.013,"[7, 77, 777]","[35, 48, 37]",16,0.01,1,127117337
3,kekulescope,HCT-15,0.314 ± 0.065,0.756 ± 0.017,0.849 ± 0.035,0.956 ± 0.015,0.669 ± 0.020,0.617 ± 0.022,"[7, 77, 777]","[59, 35, 44]",16,0.01,1,127117337
4,kekulescope,KB,0.326 ± 0.012,0.949 ± 0.046,0.955 ± 0.030,0.943 ± 0.006,0.494 ± 0.047,0.533 ± 0.027,"[7, 77, 777]","[52, 124, 122]",16,0.01,1,127117337
5,kekulescope,LoVo,0.355 ± 0.030,0.817 ± 0.007,0.813 ± 0.033,0.917 ± 0.016,0.525 ± 0.009,0.530 ± 0.039,"[7, 77, 777]","[30, 32, 36]",16,0.01,1,127117337
6,kekulescope,PC-3,0.208 ± 0.018,0.728 ± 0.017,0.744 ± 0.005,0.963 ± 0.005,0.528 ± 0.022,0.496 ± 0.005,"[7, 77, 777]","[72, 43, 67]",16,0.01,1,127117337
7,kekulescope,SK-OV-3,0.356 ± 0.023,0.921 ± 0.030,1.039 ± 0.058,0.947 ± 0.004,0.585 ± 0.027,0.461 ± 0.059,"[7, 77, 777]","[88, 87, 88]",16,0.01,1,127117337
8,molmapnet,A2780,0.247 ± 0.050,0.660 ± 0.015,0.734 ± 0.016,0.960 ± 0.016,0.717 ± 0.013,0.663 ± 0.012,"[7, 77, 777]","[144, 147, 129]",128,0.0001,1,803681
9,molmapnet,CCRF-CEM,0.287 ± 0.018,0.716 ± 0.008,0.705 ± 0.005,0.946 ± 0.007,0.668 ± 0.004,0.627 ± 0.003,"[7, 77, 777]","[112, 135, 128]",128,0.0001,1,803681
10,molmapnet,DU-145,0.251 ± 0.047,0.659 ± 0.005,0.665 ± 0.013,0.943 ± 0.019,0.628 ± 0.005,0.594 ± 0.008,"[7, 77, 777]","[112, 145, 121]",128,0.0001,1,803681
11,molmapnet,HCT-15,0.282 ± 0.012,0.655 ± 0.014,0.697 ± 0.009,0.958 ± 0.003,0.747 ± 0.010,0.734 ± 0.005,"[7, 77, 777]","[236, 233, 268]",128,0.0001,1,803681
12,molmapnet,KB,0.367 ± 0.055,0.759 ± 0.008,0.746 ± 0.013,0.926 ± 0.024,0.671 ± 0.008,0.713 ± 0.011,"[7, 77, 777]","[104, 99, 92]",128,0.0001,1,803681
13,molmapnet,LoVo,0.279 ± 0.014,0.718 ± 0.009,0.764 ± 0.016,0.953 ± 0.008,0.635 ± 0.012,0.583 ± 0.017,"[7, 77, 777]","[186, 195, 211]",128,0.0001,1,803681
14,molmapnet,PC-3,0.250 ± 0.047,0.632 ± 0.010,0.646 ± 0.007,0.941 ± 0.023,0.644 ± 0.011,0.615 ± 0.008,"[7, 77, 777]","[81, 101, 80]",128,0.0001,1,803681
15,molmapnet,SK-OV-3,0.391 ± 0.032,0.756 ± 0.014,0.890 ± 0.009,0.920 ± 0.013,0.716 ± 0.010,0.597 ± 0.007,"[7, 77, 777]","[124, 135, 138]",128,0.0001,1,803681
