IDs,Exp_LogS,smiles
ETC-2074803,-5.79288448814195,c1ccc(cc1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2074535,-5.64988953157272,NCc1cccc(c1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075031,-5.7094417491753,CC(c1cccc(c1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)N
ETC-2075002,-6.10113280857034,NCc1cc(C)cc(c1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075255,-5.58845367297841,NCc1cc(C#N)cc(c1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2074886,-5.31224691135685,NCc1ccc(c(c1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)OC
ETC-2075760,-5.21356700277536,COc1ccc(cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)CNCC1(F)CC1
ETC-2075461,-5.62093223190371,COc1ccc(cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)CNCc1ccccc1
ETC-2075712,-5.66890517518613,COc1ccc(cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)CNCc1cscn1
ETC-2075460,-5.25259539484671,COc1ccc(cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)CNC(=O)C
ETC-2075402,-5.76850134325807,NCc1cc2CCOc2c(c1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2074806,-5.24058543798154,C1NCc2c(C1)cc(cc2)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075270,-5.39297868073761,COc1cc2CNCCc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2074834-2,-5.0390582659039,N1CCc2c(C1)cc(cc2)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075347,-5.36664974201526,COc1cc2CCNCc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075723,-5.53305466217318,COc1cc2C(C)CNCc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075564,-5.65814975395654,COc1cc2ccncc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075368,-5.18087214406182,COc1cc2CCNC(c2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)C
ETC-2075492,-4.94013805028509,COc1cc2CCN(Cc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)C
ETC-2075493,-5.00361397910382,CCN1CCc2c(C1)cc(c(c2)OC)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075536,-5.52173709705134,COc1cc2CCNC3(c2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)CCC3
ETC-2075537,-5.59569100192545,COc1cc2CCNC(c2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)C(C)C
ETC-2074811-3,-5.01178043400124,N1Cc2c(C1)cc(cc2)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075581,-5.76713786820655,COc1cc2CC(C)NCc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075230,-5.46747134759409,COc1cc2CNCc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075692,-3.79416324051468,COc1cc2CNCc2cc1n1cnc2c1cc(cc2)c1ccncc1
ETC-2075598,-5.91477459232141,CN(c1cc2CNCc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)C
ETC-2075465,-5.05303061904326,COc1cc2CN(Cc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)C
ETC-2075722,-5.41150202651607,NCC(=O)N1Cc2c(C1)cc(c(c2)OC)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075535,-5.72927898807032,COc1cc2CNCc2cc1n1cnc2c1cc(cc2)c1ccnc2c1cc([nH]2)C=C
ETC-2075298,-4.52532705726004,O=C1NCc2c1ccc(c2)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075336,-6.09986793521517,N1Cc2c(C1)cc(cc2)c1cnc2n1nc(cc2)c1ccnc2c1cc[nH]2
ETC-2075335,-5.50563328139917,N1Cc2c(C1)cc(cc2)c1cnn2c1nc(cc2)c1ccnc2c1cc[nH]2
ETC-2075345,-5.48450468689287,C1NCc2c(OC1)ccc(c2)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075369,-5.8102070994479,c1ccc(cc1)CN1CCOc2c(C1)cc(cc2)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075530,-5.21332236623583,COc1cc2CNCc2cc1n1cnc2c1nc(cc2)c1ccnc2c1cc[nH]2
ETC-2075436,-6.23673992235929,NC1CCc2c(C1)cc(cc2)c1cnc2n1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075552,-6.2100221190864,c1ccc(cc1)Cn1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075583,-5.5400220147427,COc1cc2CNCc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075757,-5.39297868073761,COc1cc2CN(Cc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)C
ETC-2080823,-5.50014529213221,COc1cc2CN(Cc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)CCOC(F)(F)F
ETC-2080767,-4.80692987704297,CN1Cc2c(C1)cc(cc2)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075762,-5.4154482138495,c1nc2[nH]ccc2c(c1)c1ccn2c(c1)ccn2
ETC-2075728,-3.30152981961677,COc1cc2CNCc2cc1c1cnn2c1cc(cc2)c1ccncc1
ETC-2075765,-2.95559020178736,n1ccc(cc1)c1ccn2c(c1)c(cn2)c1ccc2c(c1)CNC2
ETC-2075758,-3.22562670451627,COc1cc2CN(Cc2cc1c1cnn2c1cc(cc2)c1ccncc1)C
ETC-2080790,-2.64982533523505,CN1Cc2c(C1)cc(cc2)c1cnn2c1cc(cc2)c1ccncc1
ETC-2075696,-5.56280473271546,Cc1cc2CNCc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075726,-5.39967850437913,N1Cc2c(C1)cc(cc2)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075721,-5.17390434039808,Fc1ccccc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075559-2,-6.09073666996752,NCc1ccc(c(c1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)F
ETC-2075657,-5.75977035513797,NCc1ccc(c(c1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)Cl
ETC-2075659,-4.75964990096526,OCCN1Cc2c(C1)cc(c(c2)OC)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075630,-4.79208529114553,COCCNCc1ccc(c(c1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)OC
ETC-2075631,-5.42521842517693,COc1ccc(cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)CN1CCN(CC1)C
ETC-2075632,-3.7751277269619,NCc1cc(ccc1OC)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075685,-5.74991343604757,N#Cc1cccc(c1)n1cnc2c1nc(nc2)c1ccnc2c1cc[nH]2
ETC-2075679,-2.44718542644918,N1CCN(CC1)c1nc(nc2c1ccnc2)c1ccncc1
ETC-2075688,-2.4918745623812,N1CCN(CC1)c1nc(nc2c1c(cnc2)C1CC1)c1ccncc1
ETC-2075691,-4.13839308990414,COCCn1cnc2c1nc(nc2)c1ccnc2c1cc[nH]2
ETC-2075729,-5.60740047489897,c1ccc(cc1)c1cnn2c1cc(cc2)c1ccncc1
ETC-2075750,-5.58709096287491,c1ccc(cc1)c1cccc(c1)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075730,-5.51105211475038,Cc1ccccc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2075749,-5.20579158044256,NCc1ccc(c(c1)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)OC
ETC-2080787,-4.63070479656478,COc1cc2CN(Cc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)C(=O)C1CCCN1
ETC-2075738,-2.42511913753504,NCCN1C=NC2C1N=C(N=C2)c1ccnc2c1cc[nH]2
ETC-2075764,-5.60940637149289,Fc1ccc(cc1n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2)CNCc1ccccc1
ETC-2080783,-4.569095447585,[nH]1ccc(n1)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2080818,-5.65312895258149,COc1cc2ccncc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2080817,-5.81068599468623,N1CCN(CC1)c1ccc(cc1)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2080822,-2.97489258308806,NCC1CCC(CC1)n1cnc2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2081213,-4.86109444115241,COc1cc2CNCc2cc1c1cnn2c1cc(cc2)c1ccnc(c1)NC(=O)C
ETC-2080845,-5.51174198270825,NCc1ccc(c(c1)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)F
ETC-2081210,-3.01543215840331,n1ccc(cc1)c1ccn2c(c1)c(cn2)c1ccc2c(c1)CNCC2
ETC-2081212,-2.61883890655482,N1CCC(CC1)N1C=NC2C1N=C(N=C2)c1ccnc2c1cc[nH]2
ETC-2081216,-5.11564670137324,N1CCc2c(C1)cc(cc2)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2080834,-5.48207247739016,N1CCN(CC1)c1cccc(c1)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2080835,-4.38542171406864,COCCNCc1ccc(c(c1)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)OC
ETC-2080843,-5.81643491419202,c1ccc2c(c1)ccc(c2)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2080844,-3.91522694512754,Nc1nccc(c1)c1ccn2c(c1)c(cn2)c1ccc2c(c1)CNCC2
ETC-2081246,-3.52069462342238,C1CCC(CN1)N1C=NC2C1N=C(N=C2)c1ccnc2c1cc[nH]2
ETC-2081245,-4.06461409956227,COc1cc2CNCc2cc1c1cnn2c1cc(cc2)c1ccnc(c1)N
ETC-2081244,-5.69158121355998,Fc1cc2CCNCc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2081243,-5.55570597823531,COc1cc2CCNCc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2081242,-4.23689375256354,CNc1nccc(c1)c1ccn2c(c1)c(cn2)c1ccc2c(c1)CNCC2
ETC-2081224,-5.65004916378283,COCCNCc1ccc(c(c1)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)F
ETC-2081218,-3.93686196931129,CCC1CNCc2c1cc(OC)c(c2)n1cnc2c1cc(cc2)c1ccnc(c1)N
ETC-2081217,-2.84214135900264,CCC1CNCc2c1cc(OC)c(c2)n1cnc2c1cc(cc2)c1ccncc1
ETC-2081237,-4.6753027173146,c1cc(c2ccn3c(c2)c(cn3)c2ccc3c(c2)[nH]nc3)c2c(n1)[nH]cc2
ETC-2081247,-5.6294614077745,CC(=O)Nc1nccc(c1)c1ccn2c(c1)c(cn2)c1ccc2c(c1)CNCC2
ETC-2081264,-5.49647058401917,FC(c1nccc(c1)c1ccn2c(c1)c(cn2)c1ccc2c(c1)CNCC2)F
ETC-2081265,-5.63324642609869,COc1ccc(cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)C1NCCOC1
ETC-2081263,-5.4509706277153,C1OCC(NC1)c1cccc(c1)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2081269,-4.99124916592383,COc1nccc(c1)c1ccn2c(c1)c(cn2)c1cc2CNCc2cc1OC
ETC-2081291,-2.63974050891261,COc1cc2CCNCc2cc1c1cnn2c1cc(cc2)c1ccncc1
ETC-2081292,-4.02334019612567,CNc1nccc(c1)c1ccn2c(c1)c(cn2)c1cc2CNCc2cc1OC
ETC-2081321,-4.10877045644205,Cc1cc2CCNCc2cc1c1cnn2c1cc(cc2)c1ccncc1
ETC-2081309,-5.9046583372852,c1ccc(cc1)Nc1nccc(c1)c1ccn2c(c1)c(cn2)c1ccc2c(c1)CNCC2
ETC-2081322,-5.7127142538466,COc1cc2CNCc2cc1c1cnn2c1cc(cc2)c1ccnc(c1)Nc1ccccc1
ETC-2081323,-3.41365986727874,COc1cc2CNCc2cc1c1cnn2c1cc(cc2)c1ccnc(c1)C
ETC-2081339,-4.35486132052346,Nc1nccc(c1)c1ccn2c(c1)c(cn2)c1cc2CNCCc2cc1C
ETC-2081344,-4.44343827435224,Fc1cc(cc2c1CNC2)c1cnn2c1cc(cc2)c1ccncc1
ETC-2081349,-5.58071851422133,Fc1cc(cc2c1CNC2)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2081350,-5.46521925087466,Cc1cc2CCNCc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2081351,-6.37974008836742,Cc1cc2CCNCc2cc1c1cnn2c1cc(cc2)c1ccnc(c1)Nc1ccccc1
ETC-2081361,-5.29174939445272,COc1cc2ccncc2cc1c1cnn2c1cc(cc2)c1ccncc1
ETC-2081668,-4.35626884106134,COc1cc2CN(Cc2cc1c1cnn2c1cc(cc2)c1ccnc(c1)N)C1CC1
ETC-2081343,-5.48174725467357,COc1ccc(cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)N1CCNCC1
ETC-2081773,-5.73926196747261,COc1cc2OCCNCc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2081782,-3.002871131323,COc1cc2OCCNCc2cc1c1cnn2c1cc(cc2)c1ccnc(c1)C
ETC-2081324,-4.90466573212287,COc1cc2CC(C)NCc2cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2
ETC-2081776,-4.06525216394189,Cc1nccc(c1)c1ccn2c(c1)c(cn2)c1cc2CNCCc2cc1C
ETC-2081957,-2.81937630975404,COc1cc2CCNCc2cc1c1cnn2c1cc(cc2)c1ccnc(c1)C
ETC-2081958,-2.8256965628257,COc1ccc(cc1c1cnn2c1cc(cc2)c1ccnc(c1)N)CN1CCNCC1
ETC-2081955,-5.60971987766228,FCC1NCc2c(C1)cc(c(c2)c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)OC
ETC-2081960,-5.42863580176271,FCC1NCc2c(C1)cc(c(c2)c1cnn2c1cc(cc2)c1ccnc(c1)C)OC
ETC-2082012,-2.83209251955261,Nc1nccc(c1)c1ccn2c(c1)c(cn2)c1nn(cc1C)C1CNC1
ETC-2082096,-5.2320246665092,COc1ccc(cc1c1cnn2c1cc(cc2)c1ccnc2c1cc[nH]2)CN1CCC1
ETC-2082097,-5.32703836862819,COc1ccc(cc1c1cnn2c1cc(cc2)c1ccnc(c1)N)CN1CC(C1)F
ETC-2082066,-4.87244626421955,COc1ccc(cc1c1cnn2c1cc(cc2)c1ccnc(c1)N)CN1CCC(C1)F
